"financial_summary_cost_id","actual_units","actual_labor_cost","actual_material_cost","actual_machine_cost","actual_overhead_cost","budget_units","budget_labor_cost","budget_material_cost","budget_machine_cost","budget_overhead_cost","location_id","machine_type_id","sales_class_id","report_begin_date_id","report_end_date_id"
201402020806,374034,83466,8746.18,80194,17383.53,1856866,539528,107898.83,260941,129619.58,8,6,2,20140203,20140228
201401020806,0,0,0.0,0,0.0,1856866,539528,107898.83,260941,129619.58,8,6,2,20140101,20140131
201412020806,1780313,519576,102878.37,251971,124538.41,1856866,539528,107898.83,260941,129619.58,8,6,2,20141201,20141231
201412020807,1919451,630680,116158.32,239072,159629.97,2001987,657105,120235.48,250739,165488.39,8,7,2,20141201,20141231
201408020901,843638,202791,48348.83,204562,42269.71,892737,215040,51607.54,216304,44429.69,9,1,2,20140801,20140829
201403020901,0,0,0.0,0,0.0,892737,215040,51607.54,216304,44429.69,9,1,2,20140303,20140331
201412020901,843638,202791,48348.83,204562,42269.71,892737,215040,51607.54,216304,44429.69,9,1,2,20141201,20141231
201410020902,1220305,428268,86904.73,179179,90803.11,1291326,457048,91693.18,188640,96160.49,9,2,2,20141001,20141031
201412020902,1220305,428268,86904.73,179179,90803.11,1291326,457048,91693.18,188640,96160.49,9,2,2,20141201,20141231
201409020903,412964,106227,33979.36,72805,35044.49,436998,112208,35977.35,76787,37329.39,9,3,2,20140901,20140930
201405020903,412964,106227,33979.36,72805,35044.49,436998,112208,35977.35,76787,37329.39,9,3,2,20140501,20140530
201402020903,0,0,0.0,0,0.0,436998,112208,35977.35,76787,37329.39,9,3,2,20140203,20140228
201401020903,0,0,0.0,0,0.0,436998,112208,35977.35,76787,37329.39,9,3,2,20140101,20140131
201412020903,412964,106227,33979.36,72805,35044.49,436998,112208,35977.35,76787,37329.39,9,3,2,20141201,20141231
201403020904,1408968,396737,80536.9,269682,57168.51,2450446,717304,157308.24,421703,142823.67,9,4,2,20140303,20140331
201412020904,2315674,676064,148096.63,398924,135352.23,2450446,717304,157308.24,421703,142823.67,9,4,2,20141201,20141231
201412020905,757692,230881,55424.04,124812,44114.89,801789,246489,58328.26,131964,46775.02,9,5,2,20141201,20141231
201410020906,1819431,695755,145957.17,182519,146341.34,2329892,874163,175791.17,269191,169937.27,9,6,2,20141001,20141031
201406020906,1691489,648914,141248.06,167954,144167.91,2329892,874163,175791.17,269191,169937.27,9,6,2,20140602,20140630
201401020906,436305,175994,41420.27,47044,49291.75,2329892,874163,175791.17,269191,169937.27,9,6,2,20140101,20140131
201412020906,2201751,822277,166848.11,254843,161875.85,2329892,874163,175791.17,269191,169937.27,9,6,2,20141201,20141231
201409020907,544051,198083,22243.96,85268,28871.92,1056704,333858,57606.87,168113,61525.93,9,7,2,20140901,20140930
201402020907,0,0,0.0,0,0.0,1056704,333858,57606.87,168113,61525.93,9,7,2,20140203,20140228
201412020907,998587,314782,54330.73,158463,58235.62,1056704,333858,57606.87,168113,61525.93,9,7,2,20141201,20141231
201412021001,1490162,509913,106366.61,231139,107869.76,1366180,467284,96942.53,210753,99520.64,10,1,2,20141201,20141231
201403021002,169890,29303,21168.04,34176,7608.39,1220774,347485,95233.36,155662,101016.69,10,2,2,20140303,20140331
201412021002,1331560,381894,104928.78,170141,109717.27,1220774,347485,95233.36,155662,101016.69,10,2,2,20141201,20141231
201406021003,589662,189053,19627.63,94224,28090.17,1259553,402675,62393.53,230705,69742.93,10,3,2,20140602,20140630
201402021003,0,0,0.0,0,0.0,1259553,402675,62393.53,230705,69742.93,10,3,2,20140203,20140228
201412021003,1373859,439601,67613.28,251724,75857.01,1259553,402675,62393.53,230705,69742.93,10,3,2,20141201,20141231
201410021004,426398,116823,48018.85,51566,21324.16,752439,163009,88546.3,114962,60032.93,10,4,2,20141001,20141031
201401021004,0,0,0.0,0,0.0,752439,163009,88546.3,114962,60032.93,10,4,2,20140101,20140131
201412021004,820724,177550,97346.42,125381,65488.09,752439,163009,88546.3,114962,60032.93,10,4,2,20141201,20141231
201409021005,861905,380509,53795.0,52879,47658.74,790194,351172,49550.57,48691,43259.84,10,5,2,20140901,20140930
201412021005,861905,380509,53795.0,52879,47658.74,790194,351172,49550.57,48691,43259.84,10,5,2,20141201,20141231
201403021006,738123,257445,28513.66,101239,45931.94,1517907,472465,97057.8,223594,105001.38,10,6,2,20140303,20140331
201412021006,1655658,513884,106423.03,242958,113539.55,1517907,472465,97057.8,223594,105001.38,10,6,2,20141201,20141231
201402021007,0,0,0.0,0,0.0,1509335,428437,112452.3,265274,111897.62,10,7,2,20140203,20140228
201401021007,0,0,0.0,0,0.0,1509335,428437,112452.3,265274,111897.62,10,7,2,20140101,20140131
201412021007,1646308,472263,123682.69,286721,120905.05,1509335,428437,112452.3,265274,111897.62,10,7,2,20141201,20141231
201410021101,1304759,333514,111264.33,260045,100856.97,1228355,312885,104580.27,244425,95192.23,11,1,2,20141001,20141031
201406021101,756685,155845,67536.24,195828,56128.38,1228355,312885,104580.27,244425,95192.23,11,1,2,20140602,20140630
201412021101,1314734,336943,112488.19,261809,101257.56,1228355,312885,104580.27,244425,95192.23,11,1,2,20141201,20141231
201409021102,1504393,423668,146712.25,258684,103072.81,1637440,472431,149031.31,269023,103100.58,11,2,2,20140901,20140930
201412021102,1752585,501466,159973.5,286989,109483.47,1637440,472431,149031.31,269023,103100.58,11,2,2,20141201,20141231
201404021103,0,0,0.0,0,0.0,1225437,455629,56967.57,192016,58509.96,11,3,2,20140401,20140430
201402021103,0,0,0.0,0,0.0,1225437,455629,56967.57,192016,58509.96,11,3,2,20140203,20140228
201412021103,1311610,490082,61566.59,203601,62257.88,1225437,455629,56967.57,192016,58509.96,11,3,2,20141201,20141231
201401021104,323380,75873,9661.85,91392,28333.86,2918258,824792,197197.54,418535,246781.01,11,4,2,20140101,20140131
201412021104,3123470,891667,209963.31,451056,265784.61,2918258,824792,197197.54,418535,246781.01,11,4,2,20141201,20141231
201406021105,377370,77151,43031.3,114807,26585.33,1283644,336868,91413.71,206235,98855.54,11,5,2,20140602,20140630
201412021105,1373910,359096,97269.32,218655,104730.95,1283644,336868,91413.71,206235,98855.54,11,5,2,20141201,20141231
201410021106,1350110,439160,86879.25,200970,85360.41,1919684,628535,131406.67,281416,129834.12,11,6,2,20141001,20141031
201404021106,296400,105145,6215.49,43067,10260.49,1919684,628535,131406.67,281416,129834.12,11,6,2,20140401,20140430
201402021106,296400,105145,6215.49,43067,10260.49,1919684,628535,131406.67,281416,129834.12,11,6,2,20140203,20140228
201412021106,2054677,672734,140107.34,300177,139023.58,1919684,628535,131406.67,281416,129834.12,11,6,2,20141201,20141231
201412021107,1730530,549131,144385.39,236218,114770.86,1616834,515359,135491.25,219872,106645.08,11,7,2,20141201,20141231
201401021201,398720,65943,47957.54,88214,27772.21,1339609,309001,133325.9,255883,93982.64,12,1,2,20140101,20140131
201412021201,1262472,289489,124522.18,243142,89396.59,1339609,309001,133325.9,255883,93982.64,12,1,2,20141201,20141231
201406021202,284292,101476,14647.42,22851,20630.2,762616,250915,35442.07,66225,67071.77,12,2,2,20140602,20140630
201412021202,718704,235137,33401.25,62518,63811.03,762616,250915,35442.07,66225,67071.77,12,2,2,20141201,20141231
201410021203,923923,306326,65958.24,96031,56724.98,1554135,517273,108942.25,198677,100487.48,12,3,2,20141001,20141031
201412021203,1464646,490399,102427.84,187360,95312.04,1554135,517273,108942.25,198677,100487.48,12,3,2,20141201,20141231
201404021204,0,0,0.0,0,0.0,1703453,612419,114578.44,199687,102717.86,12,4,2,20140401,20140430
201402021204,0,0,0.0,0,0.0,1703453,612419,114578.44,199687,102717.86,12,4,2,20140203,20140228
201412021204,1605366,576015,108646.35,189510,96096.79,1703453,612419,114578.44,199687,102717.86,12,4,2,20141201,20141231
201411021205,1037645,322023,51853.29,191393,72029.04,1101045,339058,55208.2,202379,77135.9,12,5,2,20141103,20141128
201401021205,0,0,0.0,0,0.0,1101045,339058,55208.2,202379,77135.9,12,5,2,20140101,20140131
201412021205,1037645,322023,51853.29,191393,72029.04,1101045,339058,55208.2,202379,77135.9,12,5,2,20141201,20141231
201412021206,3735629,1219848,260521.43,538373,301518.73,3963875,1286574,276804.02,573152,320423.95,12,6,2,20141201,20141231
201504030304,270040,45826,8494.39,17836,21374.3,259184,43883,8144.42,17105,20726.66,3,4,3,20150401,20150430
201504030305,433462,43696,12077.07,50994,14257.31,416036,41712,11554.13,49061,13625.71,3,5,3,20150401,20150430
201504030306,132652,31233,3228.55,5496,4766.51,127319,30118,3097.79,5311,4538.19,3,6,3,20150401,20150430
201504030307,91488,16126,3024.07,5851,2489.79,87810,15400,2873.47,5622,2405.64,3,7,3,20150401,20150430
201504030401,556040,74649,20671.44,42033,37476.47,581895,78516,21729.82,43849,39132.93,4,1,3,20150401,20150430
201504030402,396990,39928,10216.72,39822,17189.09,415450,42092,10763.31,41407,18134.49,4,2,3,20150401,20150430
201504030403,1013548,140109,25172.18,61254,46826.39,1060677,145377,26501.27,63839,49237.95,4,3,3,20150401,20150430
201504030404,608287,89557,16011.13,28318,29547.7,636572,94456,16832.5,29881,31081.23,4,4,3,20150401,20150430
201504030405,146476,26722,4653.88,5358,4336.35,153287,28178,4867.03,5601,4504.17,4,5,3,20150401,20150430
201504030406,594230,70067,22638.46,55013,34097.41,621861,72891,23473.82,57907,35894.34,4,6,3,20150401,20150430
201504030407,323010,41547,10496.51,19020,14101.09,338029,43437,10982.5,19956,14617.19,4,7,3,20150401,20150430
201504030501,401202,56957,16881.32,34360,20243.86,364933,51529,15345.12,31563,18472.52,5,1,3,20150401,20150430
201504030502,246814,35446,10883.1,16145,12992.9,224502,31990,9902.53,14577,11941.77,5,2,3,20150401,20150430
