"lead_id","quote_qty","quote_price","lead_success","job_id","created_date","cust_id","location_id","sales_agent_id","sales_class_id"
424767,508600,1.54,"Y",341546,20131113,2887,3,1251,2
424768,780100,1.50,"Y",341547,20140205,2793,10,1150,1
424769,84000,0.80,"N",NULL,20131025,2895,5,1426,3
424770,152600,0.79,"Y",341548,20141008,2824,11,1606,5
424771,159500,0.79,"Y",341549,20140312,2763,6,1497,5
424772,592800,0.77,"Y",341550,20130822,2535,3,1408,3
424773,281400,1.57,"Y",341551,20141203,2647,5,1351,2
424774,1129600,0.73,"Y",341552,20130815,2815,1,1359,6
424775,505100,0.77,"Y",341553,20140422,2629,3,1210,3
424776,743100,1.52,"Y",341554,20140728,2891,2,1367,1
424777,440000,0.78,"Y",341555,20131024,2695,1,1454,5
424778,502000,0.77,"Y",341556,20140709,2502,10,1521,6
424779,712700,0.76,"Y",341557,20140815,2629,4,1234,3
424780,529200,0.77,"Y",341558,20130806,2927,5,1557,3
424781,1015000,1.47,"Y",341559,20140107,2696,4,1447,1
424782,169600,1.58,"Y",341560,20131216,2601,7,1348,1
424783,411900,1.55,"N",NULL,20130529,2911,11,1524,1
424784,943700,0.74,"Y",341561,20131125,2977,5,1242,6
424785,846700,0.75,"Y",341562,20140610,2720,7,1180,5
424786,427800,1.55,"Y",341563,20130411,2796,7,1360,1
424787,810000,0.75,"Y",341564,20130301,2965,10,1301,5
424788,84300,1.60,"Y",341565,20140218,2907,4,1234,1
424789,685500,0.76,"Y",341566,20131028,2740,9,1564,6
424790,534200,1.54,"Y",341567,20130322,2914,10,1474,1
424791,741600,0.76,"Y",341568,20141107,2848,3,1221,4
424792,214000,1.58,"Y",341569,20130121,2552,2,1205,2
424793,1151600,0.73,"Y",341570,20131203,2525,6,1454,4
424794,509300,0.77,"Y",341571,20141107,2554,3,1267,5
424795,1197600,1.46,"Y",341572,20130409,2515,5,1506,2
424796,1110200,1.47,"Y",341573,20140806,2973,6,1221,2
424797,880300,1.49,"Y",341574,20140130,2969,6,1151,2
424798,382300,1.55,"Y",341575,20141020,2950,3,1527,1
424799,879300,0.74,"Y",341576,20140707,2616,1,1504,5
424800,1242500,0.73,"N",NULL,20140910,2503,11,1373,5
424801,564000,0.77,"Y",341577,20131024,2773,8,1512,6
424802,108800,0.80,"Y",341578,20140108,2740,10,1360,5
424803,52300,0.80,"Y",341579,20141008,2764,6,1576,5
424804,461700,0.78,"Y",341580,20130227,2915,8,1151,4
424805,717200,0.76,"Y",341581,20141030,2995,8,1610,5
424806,726600,0.76,"Y",341582,20131209,2656,6,1360,5
424807,225700,0.79,"Y",341583,20130109,2904,4,1267,4
424808,396700,0.78,"Y",341584,20130709,2782,7,1210,4
424809,106900,1.60,"Y",341585,20140520,2714,4,1403,2
424810,1139100,0.73,"Y",341586,20141216,2682,6,1350,6
424811,991900,1.49,"Y",341587,20141030,2707,5,1295,1
424812,1022200,1.47,"Y",341588,20130808,2516,10,1556,2
424813,1249600,0.73,"Y",341589,20131210,2817,1,1386,3
424814,568300,1.54,"Y",341590,20131024,2859,11,1520,2
424815,788700,1.50,"Y",341591,20140925,2544,12,1283,2
424816,986100,0.74,"Y",341592,20130222,2797,6,1338,3
424817,988800,0.74,"Y",341593,20140922,2992,8,1385,3
424818,531000,0.77,"Y",341594,20140722,2797,9,1569,3
424819,954300,1.49,"Y",341595,20130116,2914,11,1529,2
424820,148800,0.79,"Y",341596,20140507,2858,5,1497,5
424821,303200,1.57,"Y",341597,20141029,2998,2,1619,2
424822,1040800,0.74,"Y",341598,20140603,2764,1,1431,3
424823,452400,0.78,"Y",341599,20140725,2903,3,1180,5
424824,394900,0.78,"Y",341600,20140610,2737,10,1257,6
424825,327200,1.57,"Y",341601,20131115,2558,2,1527,2
424826,537400,0.77,"Y",341602,20131210,2735,4,1144,3
424827,544400,1.54,"Y",341603,20140827,2879,9,1494,2
424828,935700,0.74,"Y",341604,20140519,2822,6,1554,4
424829,491100,1.55,"Y",341605,20141027,2906,6,1173,2
424830,719300,0.76,"Y",341606,20140827,2710,2,1603,5
424831,67200,0.80,"Y",341607,20130701,2514,9,1319,4
424832,339100,0.78,"Y",341608,20130625,2752,7,1306,3
424833,77800,1.60,"Y",341609,20140710,2616,11,1495,1
424834,88700,0.80,"Y",341610,20140106,2544,4,1124,4
424835,1047100,0.74,"Y",341611,20140704,2748,9,1475,3
424836,207900,0.79,"N",NULL,20140804,2513,5,1389,6
424837,435600,0.78,"Y",341612,20130401,2957,1,1400,5
424838,1003600,1.47,"N",NULL,20140630,2894,11,1612,1
424839,1176100,1.46,"N",NULL,20131204,2811,2,1449,2
424840,763500,1.50,"Y",341613,20140508,2552,7,1124,2
424841,1102300,0.74,"Y",341614,20130820,2542,6,1133,4
424842,1130300,1.46,"Y",341615,20130927,2657,10,1280,2
